"country_code","series_code","year","value"
AUS,EG.USE.COMM.GD.PP.KD,"2007",144.2556475
AUS,EG.USE.COMM.GD.PP.KD,"2008",144.3127334
AUS,EG.USE.COMM.GD.PP.KD,"2009",142.0643838
AUS,EG.USE.COMM.GD.PP.KD,"2010",139.7142202
AUS,EG.USE.COMM.GD.PP.KD,"2011",137.1367847
AUS,EG.USE.COMM.GD.PP.KD,"2012",130.3508169
AUS,EG.USE.COMM.GD.PP.KD,"2013",126.7262324
AUS,EG.USE.COMM.GD.PP.KD,"2014",122.3551526
AUS,EG.USE.COMM.GD.PP.KD,"2015",124.6678381
AUS,IT.NET.USER.P2,"2006",66.0
AUS,IT.NET.USER.P2,"2007",69.45
AUS,IT.NET.USER.P2,"2008",71.67
AUS,IT.NET.USER.P2,"2009",74.25
AUS,IT.NET.USER.P2,"2010",76.0
AUS,IT.NET.USER.P2,"2011",79.48769771
AUS,IT.NET.USER.P2,"2012",79.0
AUS,IT.NET.USER.P2,"2013",83.45349717
AUS,IT.NET.USER.P2,"2014",84.0
AUS,IT.NET.USER.P2,"2015",84.56051935
AUT,EG.USE.COMM.GD.PP.KD,"2006",95.97655237
AUT,EG.USE.COMM.GD.PP.KD,"2007",91.48026274
AUT,EG.USE.COMM.GD.PP.KD,"2008",90.72876136
AUT,EG.USE.COMM.GD.PP.KD,"2009",89.0396454
AUT,EG.USE.COMM.GD.PP.KD,"2010",93.4829593
AUT,EG.USE.COMM.GD.PP.KD,"2011",88.22630854
AUT,EG.USE.COMM.GD.PP.KD,"2012",87.24189925
AUT,EG.USE.COMM.GD.PP.KD,"2013",88.4638093
AUT,EG.USE.COMM.GD.PP.KD,"2014",84.91167139
AUT,EG.USE.COMM.GD.PP.KD,"2015",85.77592114
AUT,IT.NET.USER.P2,"2006",63.6
AUT,IT.NET.USER.P2,"2007",69.37
AUT,IT.NET.USER.P2,"2008",72.87
AUT,IT.NET.USER.P2,"2009",73.45
AUT,IT.NET.USER.P2,"2010",75.17
AUT,IT.NET.USER.P2,"2011",78.7399931
AUT,IT.NET.USER.P2,"2012",80.02999392
